v1	V(n001)	I(D1)
-7.609999999999932e-02	-7.610000e-02	-2.050104e-09
-7.599999999999932e-02	-7.600000e-02	-2.049066e-09
-7.589999999999932e-02	-7.590000e-02	-2.048025e-09
-7.579999999999931e-02	-7.580000e-02	-2.046982e-09
-7.569999999999931e-02	-7.570000e-02	-2.045937e-09
-7.559999999999931e-02	-7.560000e-02	-2.044889e-09
-7.549999999999930e-02	-7.550000e-02	-2.043839e-09
-7.539999999999930e-02	-7.540000e-02	-2.042787e-09
-7.529999999999930e-02	-7.530000e-02	-2.041733e-09
-7.519999999999930e-02	-7.520000e-02	-2.040676e-09
-7.509999999999929e-02	-7.510000e-02	-2.039617e-09
-7.499999999999929e-02	-7.500000e-02	-2.038555e-09
-7.489999999999929e-02	-7.490000e-02	-2.037491e-09
-7.479999999999928e-02	-7.480000e-02	-2.036425e-09
-7.469999999999928e-02	-7.470000e-02	-2.035356e-09
-7.459999999999928e-02	-7.460000e-02	-2.034285e-09
-7.449999999999928e-02	-7.450000e-02	-2.033212e-09
-7.439999999999927e-02	-7.440000e-02	-2.032136e-09
-7.429999999999927e-02	-7.430000e-02	-2.031058e-09
-7.419999999999927e-02	-7.420000e-02	-2.029978e-09
-7.409999999999926e-02	-7.410000e-02	-2.028895e-09
-7.399999999999926e-02	-7.400000e-02	-2.027810e-09
-7.389999999999926e-02	-7.390000e-02	-2.026722e-09
-7.379999999999926e-02	-7.380000e-02	-2.025632e-09
-7.369999999999925e-02	-7.370000e-02	-2.024540e-09
-7.359999999999925e-02	-7.360000e-02	-2.023445e-09
-7.349999999999925e-02	-7.350000e-02	-2.022348e-09
-7.339999999999924e-02	-7.340000e-02	-2.021248e-09
-7.329999999999924e-02	-7.330000e-02	-2.020146e-09
-7.319999999999924e-02	-7.320000e-02	-2.019042e-09
-7.309999999999924e-02	-7.310000e-02	-2.017935e-09
-7.299999999999923e-02	-7.300000e-02	-2.016825e-09
-7.289999999999923e-02	-7.290000e-02	-2.015713e-09
-7.279999999999923e-02	-7.280000e-02	-2.014599e-09
-7.269999999999922e-02	-7.270000e-02	-2.013482e-09
-7.259999999999922e-02	-7.260000e-02	-2.012363e-09
-7.249999999999922e-02	-7.250000e-02	-2.011241e-09
-7.239999999999921e-02	-7.240000e-02	-2.010117e-09
-7.229999999999921e-02	-7.230000e-02	-2.008990e-09
-7.219999999999921e-02	-7.220000e-02	-2.007861e-09
-7.209999999999921e-02	-7.210000e-02	-2.006729e-09
-7.199999999999920e-02	-7.200000e-02	-2.005595e-09
-7.189999999999920e-02	-7.190000e-02	-2.004459e-09
-7.179999999999920e-02	-7.180000e-02	-2.003320e-09
-7.169999999999919e-02	-7.170000e-02	-2.002178e-09
-7.159999999999919e-02	-7.160000e-02	-2.001034e-09
-7.149999999999919e-02	-7.150000e-02	-1.999887e-09
-7.139999999999919e-02	-7.140000e-02	-1.998737e-09
-7.129999999999918e-02	-7.130000e-02	-1.997586e-09
-7.119999999999918e-02	-7.120000e-02	-1.996431e-09
-7.109999999999918e-02	-7.110000e-02	-1.995274e-09
-7.099999999999917e-02	-7.100000e-02	-1.994115e-09
-7.089999999999917e-02	-7.090000e-02	-1.992953e-09
-7.079999999999917e-02	-7.080000e-02	-1.991788e-09
-7.069999999999917e-02	-7.070000e-02	-1.990621e-09
-7.059999999999916e-02	-7.060000e-02	-1.989451e-09
-7.049999999999916e-02	-7.050000e-02	-1.988279e-09
-7.039999999999916e-02	-7.040000e-02	-1.987104e-09
-7.029999999999915e-02	-7.030000e-02	-1.985927e-09
-7.019999999999915e-02	-7.020000e-02	-1.984746e-09
-7.009999999999915e-02	-7.010000e-02	-1.983564e-09
-6.999999999999915e-02	-7.000000e-02	-1.982378e-09
-6.989999999999914e-02	-6.990000e-02	-1.981190e-09
-6.979999999999914e-02	-6.980000e-02	-1.980000e-09
-6.969999999999914e-02	-6.970000e-02	-1.978806e-09
-6.959999999999913e-02	-6.960000e-02	-1.977611e-09
-6.949999999999913e-02	-6.950000e-02	-1.976412e-09
-6.939999999999913e-02	-6.940000e-02	-1.975211e-09
-6.929999999999913e-02	-6.930000e-02	-1.974007e-09
-6.919999999999912e-02	-6.920000e-02	-1.972801e-09
-6.909999999999912e-02	-6.910000e-02	-1.971592e-09
-6.899999999999912e-02	-6.900000e-02	-1.970380e-09
-6.889999999999911e-02	-6.890000e-02	-1.969165e-09
-6.879999999999911e-02	-6.880000e-02	-1.967948e-09
-6.869999999999911e-02	-6.870000e-02	-1.966728e-09
-6.859999999999911e-02	-6.860000e-02	-1.965506e-09
-6.849999999999910e-02	-6.850000e-02	-1.964281e-09
-6.839999999999910e-02	-6.840000e-02	-1.963053e-09
-6.829999999999910e-02	-6.830000e-02	-1.961822e-09
-6.819999999999909e-02	-6.820000e-02	-1.960589e-09
-6.809999999999909e-02	-6.810000e-02	-1.959352e-09
-6.799999999999909e-02	-6.800000e-02	-1.958114e-09
-6.789999999999909e-02	-6.790000e-02	-1.956872e-09
-6.779999999999908e-02	-6.780000e-02	-1.955628e-09
-6.769999999999908e-02	-6.770000e-02	-1.954381e-09
-6.759999999999908e-02	-6.760000e-02	-1.953131e-09
-6.749999999999907e-02	-6.750000e-02	-1.951878e-09
-6.739999999999907e-02	-6.740000e-02	-1.950623e-09
-6.729999999999907e-02	-6.730000e-02	-1.949365e-09
-6.719999999999907e-02	-6.720000e-02	-1.948104e-09
-6.709999999999906e-02	-6.710000e-02	-1.946840e-09
-6.699999999999906e-02	-6.700000e-02	-1.945574e-09
-6.689999999999906e-02	-6.690000e-02	-1.944305e-09
-6.679999999999905e-02	-6.680000e-02	-1.943033e-09
-6.669999999999905e-02	-6.670000e-02	-1.941758e-09
-6.659999999999905e-02	-6.660000e-02	-1.940480e-09
-6.649999999999905e-02	-6.650000e-02	-1.939199e-09
-6.639999999999904e-02	-6.640000e-02	-1.937916e-09
-6.629999999999904e-02	-6.630000e-02	-1.936630e-09
-6.619999999999904e-02	-6.620000e-02	-1.935341e-09
-6.609999999999903e-02	-6.610000e-02	-1.934049e-09
-6.599999999999903e-02	-6.600000e-02	-1.932754e-09
-6.589999999999903e-02	-6.590000e-02	-1.931457e-09
-6.579999999999903e-02	-6.580000e-02	-1.930156e-09
-6.569999999999902e-02	-6.570000e-02	-1.928853e-09
-6.559999999999902e-02	-6.560000e-02	-1.927547e-09
-6.549999999999902e-02	-6.550000e-02	-1.926238e-09
-6.539999999999901e-02	-6.540000e-02	-1.924926e-09
-6.529999999999901e-02	-6.530000e-02	-1.923611e-09
-6.519999999999901e-02	-6.520000e-02	-1.922293e-09
-6.509999999999901e-02	-6.510000e-02	-1.920972e-09
-6.499999999999900e-02	-6.500000e-02	-1.919649e-09
-6.489999999999900e-02	-6.490000e-02	-1.918322e-09
-6.479999999999900e-02	-6.480000e-02	-1.916993e-09
-6.469999999999899e-02	-6.470000e-02	-1.915660e-09
-6.459999999999899e-02	-6.460000e-02	-1.914325e-09
-6.449999999999899e-02	-6.450000e-02	-1.912987e-09
-6.439999999999899e-02	-6.440000e-02	-1.911646e-09
-6.429999999999898e-02	-6.430000e-02	-1.910301e-09
-6.419999999999898e-02	-6.420000e-02	-1.908954e-09
-6.409999999999898e-02	-6.410000e-02	-1.907604e-09
-6.399999999999897e-02	-6.400000e-02	-1.906251e-09
-6.389999999999897e-02	-6.390000e-02	-1.904895e-09
-6.379999999999897e-02	-6.380000e-02	-1.903536e-09
-6.369999999999897e-02	-6.370000e-02	-1.902173e-09
-6.359999999999896e-02	-6.360000e-02	-1.900808e-09
-6.349999999999896e-02	-6.350000e-02	-1.899440e-09
-6.339999999999896e-02	-6.340000e-02	-1.898069e-09
-6.329999999999895e-02	-6.330000e-02	-1.896695e-09
-6.319999999999895e-02	-6.320000e-02	-1.895317e-09
-6.309999999999895e-02	-6.310000e-02	-1.893937e-09
-6.299999999999895e-02	-6.300000e-02	-1.892554e-09
-6.289999999999894e-02	-6.290000e-02	-1.891167e-09
-6.279999999999894e-02	-6.280000e-02	-1.889778e-09
-6.269999999999894e-02	-6.270000e-02	-1.888385e-09
-6.259999999999893e-02	-6.260000e-02	-1.886990e-09
-6.249999999999893e-02	-6.250000e-02	-1.885591e-09
-6.239999999999893e-02	-6.240000e-02	-1.884189e-09
-6.229999999999893e-02	-6.230000e-02	-1.882785e-09
-6.219999999999892e-02	-6.220000e-02	-1.881377e-09
-6.209999999999892e-02	-6.210000e-02	-1.879966e-09
-6.199999999999892e-02	-6.200000e-02	-1.878551e-09
-6.189999999999891e-02	-6.190000e-02	-1.877134e-09
-6.179999999999891e-02	-6.180000e-02	-1.875714e-09
-6.169999999999891e-02	-6.170000e-02	-1.874290e-09
-6.159999999999891e-02	-6.160000e-02	-1.872863e-09
-6.149999999999890e-02	-6.150000e-02	-1.871433e-09
-6.139999999999890e-02	-6.140000e-02	-1.870000e-09
-6.129999999999890e-02	-6.130000e-02	-1.868564e-09
-6.119999999999889e-02	-6.120000e-02	-1.867125e-09
-6.109999999999889e-02	-6.110000e-02	-1.865682e-09
-6.099999999999889e-02	-6.100000e-02	-1.864236e-09
-6.089999999999889e-02	-6.090000e-02	-1.862787e-09
-6.079999999999888e-02	-6.080000e-02	-1.861335e-09
-6.069999999999888e-02	-6.070000e-02	-1.859880e-09
-6.059999999999888e-02	-6.060000e-02	-1.858421e-09
-6.049999999999887e-02	-6.050000e-02	-1.856960e-09
-6.039999999999887e-02	-6.040000e-02	-1.855495e-09
-6.029999999999887e-02	-6.030000e-02	-1.854026e-09
-6.019999999999887e-02	-6.020000e-02	-1.852555e-09
-6.009999999999886e-02	-6.010000e-02	-1.851080e-09
